objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,mmc_cor_per_1989_doc002_fol002r.jpg,,,mmc_cor_per_1989_doc002_fol002r,,1989-09-11,Carta manuscrita enviada por Juan Luis Panero a MMC,,Torroella de Montgrí,,,,,,image/jpeg,,,
coll002,mmc_cor_per_1989_doc002_fol002v.jpg,,,mmc_cor_per_1989_doc002_fol002v,,1989-09-11,Carta manuscrita enviada por Juan Luis Panero a MMC,,Torroella de Montgrí,,,,,,image/jpeg,,,
coll003,mmc_cor_per_1989_doc002_fol003r.jpg,,,mmc_cor_per_1989_doc002_fol003r,,1989-09-11,Carta manuscrita enviada por Juan Luis Panero a MMC,gratitude_for_magazine,Torroella de Montgrí,,,,,,image/jpeg,,,
coll004,mmc_cor_per_1989_doc003_fol002r.jpg,,,mmc_cor_per_1989_doc003_fol002r,,1989-10-29,Carta manuscrita enviada por Juan Luis Panero a MMC,,Torroella de Montgrí,,,,,,image/jpeg,,,
coll005,mmc_cor_per_1989_doc003_fol002v.jpg,,,mmc_cor_per_1989_doc003_fol002v,,1989-10-29,Carta manuscrita enviada por Juan Luis Panero a MMC,submission,Torroella de Montgrí,,,,,,image/jpeg,,,
coll006,mmc_cor_per_1989_doc003_fol004r.jpg,,,mmc_cor_per_1989_doc003_fol004r,,1989-10-29,Poema mecanografiado enviado por Juan Luis Panero a MMC,,Torroella de Montgrí,,,,,,image/jpeg,,,
coll007,mmc_cor_per_1990_doc002.jpg,,,mmc_cor_per_1990_doc002,,1990-02-02,Carta manuscrita enviada por Juan Liscano a MMC,submission,Caracas,,,,,,image/jpeg,,,
coll008,mmc_cor_per_1992_doc002.jpg,,,mmc_cor_per_1992_doc002,,1992-04-24,Carta mecanografiada enviada por Juan Liscano a MMC,visit,Caracas,,,,,,image/jpeg,,,
coll009,mmc_cor_per_1992_doc004b.jpg,,,mmc_cor_per_1992_doc004b,,1992-06-29,Carta manuscrita enviada por Juan Luis Panero a MMC,gratitude_for_magazine,Torroella de Montgrí,,,,,,image/jpeg,,,
coll010,mmc_cor_per_1992_doc004c.jpg,,,mmc_cor_per_1992_doc004c,,1992-06-29,Carta manuscrita enviada por Juan Luis Panero a MMC,,Torroella de Montgrí,,,,,,image/jpeg,,,
coll011,mmc_cor_per_1992_doc004d.jpg,,,mmc_cor_per_1992_doc004d,,1992-06-29,Carta manuscrita enviada por Juan Luis Panero a MMC,submission,Torroella de Montgrí,,,,,,image/jpeg,,,
coll012,mmc_cor_per_1992_doc004e.jpg,,,mmc_cor_per_1992_doc004e,,1992-06-29,Carta manuscrita enviada por Juan Luis Panero a MMC,,Torroella de Montgrí,,,,,,image/jpeg,,,
coll013,mmc_cor_per_1992_doc004f.jpg,,,mmc_cor_per_1992_doc004f,,1992-06-29,Carta manuscrita enviada por Juan Luis Panero a MMC,other,Torroella de Montgrí,,,,,,image/jpeg,,,
coll014,mmc_cor_per_1992_doc004g.jpg,,,mmc_cor_per_1992_doc004g,,1992-06-29,Carta manuscrita enviada por Juan Luis Panero a MMC,,Torroella de Montgrí,,,,,,image/jpeg,,,
coll015,mmc_cor_per_1992_doc004h.jpg,,,mmc_cor_per_1992_doc004h,,1992-06-29,Carta manuscrita enviada por Juan Luis Panero a MMC,,Torroella de Montgrí,,,,,,image/jpeg,,,
coll016,mmc_cor_per_1993_doc006_fol001r.jpg,,,mmc_cor_per_1993_doc006_fol001r,,1993-08-02,Nota manuscrita enviada por juan Liscano a MMC,submission,,,,,,,image/jpeg,,,
coll017,mmc_cor_per_1993_doc006_fol001v.jpg,,,mmc_cor_per_1993_doc006_fol001v,,1993-08-02,Nota manuscrita enviada por juan Liscano a MMC,submission,,,,,,,image/jpeg,,,
coll018,mmc_cor_per_1994_doc011_fol002r.jpg,,,mmc_cor_per_1994_doc011_fol002r,,1994-10-18,Nota manuscrita enviada por Belisario Betancour a MMC,submission,,,,,,,image/jpeg,,,
coll019,mmc_cor_per_1994_doc016_fol002r.jpg,,,mmc_cor_per_1994_doc016_fol002r,,1994-12-31,Tarjeta manuscrita enviada por Rudolf Peyer a MMC,other,Reinach,,,,,,image/jpeg,,,
coll020,mmc_cor_per_1994_doc016_fol002v.jpg,,,mmc_cor_per_1994_doc016_fol002v,,1994-12-31,Tarjeta manuscrita enviada por Rudolf Peyer a MMC,poems_reading,Reinach,,,,,,image/jpeg,,,
coll021,mmc_cor_per_1994_doc016_fol003r.jpg,,,mmc_cor_per_1994_doc016_fol003r,,1994-12-31,Tarjeta manuscrita enviada por Rudolf Peyer a MMC,,Reinach,,,,,,image/jpeg,,,
coll022,mmc_per_cor_1994_exp001_doc001_fol001r.jpg,,,mmc_per_cor_1994_exp001_doc001_fol001r,,1994-04-07,Carta mecanografiada enviada por Maria Irene Ramalho de Sousa Santos a MMC,,Coimbra,,,,,,image/jpeg,,,
coll023,mmc_per_cor_1994_exp001_doc002_fol002r.jpg,,,mmc_per_cor_1994_exp001_doc002_fol002r,,1993-07-31,Carta mecanografiada enviada por Maria Irene Ramalho de Sousa Santos a MMC,"gratitude_for_magazine, other",Coimbra,,,,,,image/jpeg,,,
coll024,mmc_cor_per_1995_doc008.jpg,,,mmc_cor_per_1995_doc008,,1995-11-01,Carta mecanografiada enviada por José Vicente Guzmán Sandino a MMC,other,Bogotá,,,,,,image/jpeg,,,
coll025,mmc_cor_per_1995_doc009.jpg,,,mmc_cor_per_1995_doc009,,1995-11-07,Carta mecanografiada enviada por Luis Pastori a MMC,visit,Caracas,,,,,,image/jpeg,,,
coll026,mmc_cor_per_1996_doc003_fol001r.jpg,,,mmc_cor_per_1996_doc003_fol001r,,1996-03-28,Carta manuscrita enviada por Abelardo Manuel García Viera a MMC,visit,Bogotá,,,,,,image/jpeg,,,
coll027,mmc_cor_per_1996_doc003_fol001v.jpg,,,mmc_cor_per_1996_doc003_fol001v,,1996-03-28,Carta manuscrita enviada por Abelardo Manuel García Viera a MMC,visit,Bogotá,,,,,,image/jpeg,,,
coll028,mmc_cor_per_1996_doc005_fol001r.jpg,,,mmc_cor_per_1996_doc005_fol001r,,1996-04-30, Carta manuscrita enviada por José Agustín Goytisolo a MMC,visit; cps_prize,Barcelona,,,,,,image/jpeg,,,
coll029,mmc_cor_per_1996_doc005_fol001v.jpg,,,mmc_cor_per_1996_doc005_fol001v,,1996-04-30, Carta manuscrita enviada por José Agustín Goytisolo a MMC,submission; cps_prize,Barcelona,,,,,,image/jpeg,,,
